1: 1,6; 1,7; 1,8; 2,6; 2,7; 2,8; 3,6; 3,9; 3,10; 4,7; 4,9; 4,10; 5,8; 5,9; 5,10
2: 1,6; 1,7; 1,8; 2,6; 2,8; 2,9; 3,6; 3,9; 3,10; 4,7; 4,8; 4,10; 5,7; 5,9; 5,10
3: 1,5; 1,6; 1,7; 2,6; 2,7; 2,8; 3,7; 3,8; 3,9; 4,8; 4,9; 4,10; 5,9; 5,10; 6,10
4: 1,5; 1,6; 1,7; 2,6; 2,7; 2,10; 3,8; 3,9; 3,10; 4,8; 4,9; 4,10; 5,8; 5,9; 6,7
5: 1,5; 1,8; 1,9; 2,6; 2,7; 2,8; 3,6; 3,7; 3,8; 4,7; 4,9; 4,10; 5,9; 5,10; 6,10
6: 1,5; 1,7; 1,8; 2,6; 2,8; 2,9; 3,6; 3,9; 3,10; 4,7; 4,8; 4,9; 5,7; 5,10; 6,10
7: 1,5; 1,7; 1,8; 2,6; 2,9; 2,10; 3,6; 3,9; 3,10; 4,7; 4,8; 4,9; 5,7; 5,8; 6,10
8: 1,5; 1,8; 1,10; 2,6; 2,7; 2,8; 3,6; 3,7; 3,9; 4,8; 4,9; 4,10; 5,9; 5,10; 6,7
9: 1,5; 1,7; 1,8; 2,6; 2,8; 2,9; 3,6; 3,9; 3,10; 4,7; 4,8; 4,10; 5,9; 5,10; 6,7
10: 1,5; 1,7; 1,8; 2,6; 2,8; 2,9; 3,6; 3,9; 3,10; 4,7; 4,9; 4,10; 5,8; 5,10; 6,7
11: 1,5; 1,8; 1,9; 2,6; 2,7; 2,8; 3,6; 3,9; 3,10; 4,7; 4,9; 4,10; 5,8; 5,10; 6,7
12: 1,5; 1,7; 1,8; 2,6; 2,8; 2,9; 3,6; 3,9; 3,10; 4,8; 4,9; 4,10; 5,7; 5,10; 6,7
13: 1,4; 1,7; 1,9; 2,5; 2,7; 2,8; 3,6; 3,7; 3,8; 4,8; 4,10; 5,9; 5,10; 6,9; 6,10
14: 1,4; 1,7; 1,10; 2,5; 2,7; 2,9; 3,6; 3,7; 3,8; 4,8; 4,9; 5,8; 5,10; 6,9; 6,10
15: 1,4; 1,7; 1,8; 2,5; 2,7; 2,8; 3,6; 3,8; 3,9; 4,7; 4,10; 5,9; 5,10; 6,9; 6,10
16: 1,4; 1,7; 1,8; 2,5; 2,7; 2,9; 3,6; 3,8; 3,10; 4,7; 4,10; 5,8; 5,9; 6,9; 6,10
17: 1,4; 1,7; 1,8; 2,5; 2,7; 2,10; 3,6; 3,8; 3,10; 4,7; 4,9; 5,8; 5,9; 6,9; 6,10
18: 1,4; 1,6; 1,8; 2,5; 2,7; 2,10; 3,7; 3,8; 3,9; 4,6; 4,8; 5,9; 5,10; 6,9; 7,10
19: 1,4; 1,6; 1,8; 2,5; 2,7; 2,10; 3,7; 3,8; 3,9; 4,6; 4,8; 5,9; 5,10; 6,10; 7,9
