1: 1,7; 1,8; 1,9; 2,7; 2,8; 2,9; 3,7; 3,9; 3,12; 4,8; 4,10; 4,11; 5,10; 5,11; 5,12; 6,10; 6,11; 6,12
2: 1,7; 1,8; 1,9; 2,7; 2,8; 2,9; 3,7; 3,10; 3,11; 4,8; 4,10; 4,12; 5,9; 5,11; 5,12; 6,10; 6,11; 6,12
3: 1,7; 1,8; 1,9; 2,7; 2,8; 2,10; 3,7; 3,9; 3,11; 4,8; 4,10; 4,12; 5,9; 5,11; 5,12; 6,10; 6,11; 6,12
4: 1,7; 1,8; 1,9; 2,7; 2,8; 2,10; 3,7; 3,10; 3,11; 4,8; 4,11; 4,12; 5,9; 5,10; 5,12; 6,9; 6,11; 6,12
5: 1,7; 1,8; 1,9; 2,7; 2,8; 2,10; 3,7; 3,11; 3,12; 4,8; 4,11; 4,12; 5,9; 5,10; 5,11; 6,9; 6,10; 6,12
6: 1,6; 1,7; 1,8; 2,7; 2,8; 2,9; 3,8; 3,9; 3,10; 4,9; 4,10; 4,11; 5,10; 5,11; 5,12; 6,11; 6,12; 7,12
7: 1,6; 1,7; 1,11; 2,7; 2,8; 2,9; 3,8; 3,9; 3,10; 4,8; 4,11; 4,12; 5,9; 5,11; 5,12; 6,10; 6,12; 7,10
8: 1,6; 1,7; 1,8; 2,7; 2,8; 2,9; 3,9; 3,10; 3,11; 4,10; 4,11; 4,12; 5,10; 5,11; 5,12; 6,8; 6,12; 7,9
9: 1,6; 1,7; 1,8; 2,7; 2,8; 2,9; 3,9; 3,11; 3,12; 4,10; 4,11; 4,12; 5,10; 5,11; 5,12; 6,9; 6,10; 7,8
10: 1,6; 1,7; 1,8; 2,7; 2,9; 2,10; 3,8; 3,10; 3,11; 4,9; 4,11; 4,12; 5,9; 5,11; 5,12; 6,10; 6,12; 7,8
11: 1,6; 1,8; 1,10; 2,7; 2,8; 2,9; 3,7; 3,8; 3,9; 4,10; 4,11; 4,12; 5,10; 5,11; 5,12; 6,9; 6,12; 7,11
12: 1,6; 1,8; 1,9; 2,7; 2,8; 2,9; 3,7; 3,9; 3,10; 4,8; 4,11; 4,12; 5,10; 5,11; 5,12; 6,10; 6,12; 7,11
13: 1,6; 1,8; 1,9; 2,7; 2,8; 2,12; 3,7; 3,9; 3,11; 4,8; 4,10; 4,11; 5,9; 5,10; 5,12; 6,11; 6,12; 7,10
14: 1,6; 1,8; 1,10; 2,7; 2,8; 2,9; 3,7; 3,11; 3,12; 4,8; 4,10; 4,11; 5,9; 5,10; 5,12; 6,9; 6,11; 7,12
15: 1,6; 1,8; 1,10; 2,7; 2,8; 2,9; 3,7; 3,11; 3,12; 4,8; 4,10; 4,12; 5,9; 5,10; 5,11; 6,9; 6,11; 7,12
16: 1,6; 1,9; 1,10; 2,7; 2,8; 2,9; 3,7; 3,8; 3,9; 4,8; 4,10; 4,12; 5,10; 5,11; 5,12; 6,11; 6,12; 7,11
17: 1,6; 1,9; 1,12; 2,7; 2,8; 2,9; 3,7; 3,8; 3,9; 4,8; 4,10; 4,11; 5,10; 5,11; 5,12; 6,11; 6,12; 7,10
18: 1,6; 1,10; 1,12; 2,7; 2,8; 2,9; 3,7; 3,8; 3,9; 4,8; 4,10; 4,11; 5,9; 5,11; 5,12; 6,11; 6,12; 7,10
19: 1,6; 1,11; 1,12; 2,7; 2,8; 2,9; 3,7; 3,8; 3,9; 4,8; 4,10; 4,11; 5,9; 5,10; 5,12; 6,11; 6,12; 7,10
20: 1,6; 1,8; 1,9; 2,7; 2,10; 2,11; 3,7; 3,11; 3,12; 4,8; 4,9; 4,10; 5,8; 5,9; 5,10; 6,11; 6,12; 7,12
21: 1,6; 1,9; 1,10; 2,7; 2,8; 2,9; 3,7; 3,11; 3,12; 4,8; 4,9; 4,12; 5,8; 5,10; 5,11; 6,10; 6,11; 7,12
