1: 1,8; 1,9; 1,10; 2,8; 2,9; 2,11; 3,8; 3,9; 3,13; 4,10; 4,11; 4,12; 5,10; 5,12; 5,14; 6,11; 6,13; 6,14; 7,12; 7,13; 7,14
2: 1,8; 1,9; 1,10; 2,8; 2,9; 2,10; 3,8; 3,10; 3,11; 4,9; 4,11; 4,12; 5,11; 5,13; 5,14; 6,12; 6,13; 6,14; 7,12; 7,13; 7,14
3: 1,8; 1,9; 1,10; 2,8; 2,9; 2,10; 3,8; 3,10; 3,11; 4,9; 4,12; 4,13; 5,11; 5,12; 5,14; 6,11; 6,13; 6,14; 7,12; 7,13; 7,14
4: 1,8; 1,9; 1,10; 2,8; 2,9; 2,10; 3,8; 3,11; 3,12; 4,9; 4,12; 4,13; 5,10; 5,12; 5,14; 6,11; 6,13; 6,14; 7,11; 7,13; 7,14
5: 1,8; 1,9; 1,10; 2,8; 2,9; 2,10; 3,8; 3,11; 3,12; 4,9; 4,13; 4,14; 5,10; 5,13; 5,14; 6,11; 6,12; 6,13; 7,11; 7,12; 7,14
6: 1,8; 1,9; 1,10; 2,8; 2,9; 2,11; 3,8; 3,10; 3,12; 4,9; 4,11; 4,13; 5,10; 5,12; 5,14; 6,11; 6,13; 6,14; 7,12; 7,13; 7,14
7: 1,8; 1,9; 1,10; 2,8; 2,9; 2,11; 3,8; 3,11; 3,12; 4,9; 4,11; 4,13; 5,10; 5,12; 5,14; 6,10; 6,13; 6,14; 7,12; 7,13; 7,14
8: 1,8; 1,9; 1,10; 2,8; 2,9; 2,11; 3,8; 3,11; 3,12; 4,9; 4,12; 4,14; 5,10; 5,12; 5,13; 6,10; 6,13; 6,14; 7,11; 7,13; 7,14
9: 1,8; 1,9; 1,10; 2,8; 2,9; 2,11; 3,8; 3,11; 3,12; 4,9; 4,13; 4,14; 5,10; 5,12; 5,13; 6,10; 6,12; 6,14; 7,11; 7,13; 7,14
10: 1,8; 1,9; 1,10; 2,8; 2,9; 2,11; 3,8; 3,11; 3,12; 4,9; 4,13; 4,14; 5,10; 5,12; 5,14; 6,10; 6,13; 6,14; 7,11; 7,12; 7,13
11: 1,8; 1,9; 1,10; 2,8; 2,9; 2,11; 3,8; 3,12; 3,13; 4,9; 4,12; 4,14; 5,10; 5,11; 5,12; 6,10; 6,13; 6,14; 7,11; 7,13; 7,14
12: 1,8; 1,9; 1,10; 2,8; 2,9; 2,11; 3,8; 3,12; 3,14; 4,9; 4,13; 4,14; 5,10; 5,11; 5,12; 6,10; 6,12; 6,13; 7,11; 7,13; 7,14
13: 1,8; 1,9; 1,10; 2,8; 2,11; 2,14; 3,8; 3,12; 3,13; 4,9; 4,11; 4,13; 5,9; 5,12; 5,14; 6,10; 6,11; 6,12; 7,10; 7,13; 7,14
14: 1,7; 1,8; 1,9; 2,8; 2,9; 2,10; 3,9; 3,10; 3,11; 4,10; 4,11; 4,12; 5,11; 5,12; 5,13; 6,12; 6,13; 6,14; 7,13; 7,14; 8,14
15: 1,7; 1,8; 1,9; 2,8; 2,9; 2,10; 3,9; 3,10; 3,11; 4,11; 4,12; 4,14; 5,11; 5,13; 5,14; 6,12; 6,13; 6,14; 7,12; 7,13; 8,10
